metric,value
queries,82226
threads,8
dimension,768
k,10
efSearch,50
total_time_s,23.2992
qps,3529.13
avg_latency_ms,2.26484
real_avg_latency_ms,0.283356
p50_ms,1.87583
p95_ms,4.96268
p99_ms,6.32223
peak_rss_mb,2475
