query_id,latency_ms
0,0.121051
1,0.121151
2,0.122971
3,0.128296
4,0.128334
5,0.135571
6,0.136964
7,0.140065
8,0.143389
9,0.143665
10,0.145589
11,0.147058
12,0.147587
13,0.147939
14,0.149282
15,0.149885
16,0.15049
17,0.150672
18,0.151509
19,0.151522
20,0.15153
21,0.151562
22,0.152695
23,0.153367
24,0.153776
25,0.15407
26,0.154222
27,0.154672
28,0.154757
29,0.156034
30,0.156061
31,0.156406
32,0.156505
33,0.156805
34,0.157142
35,0.157249
36,0.157883
37,0.158091
38,0.158708
39,0.160631
40,0.160762
41,0.160796
42,0.161105
43,0.161168
44,0.161738
45,0.16249
46,0.162649
47,0.162773
48,0.164059
49,0.164129
50,0.164202
51,0.164403
52,0.164682
53,0.165961
54,0.16599
55,0.166054
56,0.166232
57,0.166247
58,0.166289
59,0.166464
60,0.166888
61,0.167001
62,0.167198
63,0.167476
64,0.167856
65,0.168001
66,0.168025
67,0.168171
68,0.16848
69,0.168505
70,0.168638
71,0.168683
72,0.168684
73,0.168876
74,0.169258
75,0.169422
76,0.169434
77,0.169533
78,0.169562
79,0.169957
80,0.169974
81,0.170159
82,0.170427
83,0.170924
84,0.170948
85,0.171405
86,0.171431
87,0.171578
88,0.172171
89,0.172248
90,0.17233
91,0.172424
92,0.172532
93,0.173006
94,0.173017
95,0.173126
96,0.17338
97,0.173387
98,0.173539
99,0.173621
100,0.173908
101,0.173909
102,0.173919
103,0.174233
104,0.174245
105,0.174369
106,0.17467
107,0.174732
108,0.174743
109,0.174988
110,0.175132
111,0.175138
112,0.175163
113,0.175256
114,0.175455
115,0.175832
116,0.1759
117,0.175975
118,0.176265
119,0.176269
120,0.176409
121,0.176494
122,0.176508
123,0.176509
124,0.176561
125,0.176663
126,0.176717
127,0.176919
128,0.176973
129,0.177228
130,0.177259
131,0.177311
132,0.177436
133,0.177672
134,0.177793
135,0.177878
136,0.177893
137,0.178072
138,0.17811
139,0.178134
140,0.178169
141,0.178225
142,0.178302
143,0.178392
144,0.178473
145,0.17851
146,0.178576
147,0.178599
148,0.178649
149,0.17883
150,0.178842
151,0.179117
152,0.179184
153,0.179186
154,0.179269
155,0.179424
156,0.179634
157,0.179719
158,0.179723
159,0.179942
160,0.179958
161,0.180058
162,0.1801
163,0.180142
164,0.180156
165,0.18018
166,0.180331
167,0.180413
168,0.180417
169,0.180488
170,0.18058
171,0.180677
172,0.180719
173,0.180735
174,0.180786
175,0.180864
176,0.18109
177,0.181143
178,0.181218
179,0.181295
180,0.181299
181,0.181336
182,0.181481
183,0.1815
184,0.181506
185,0.181557
186,0.181676
187,0.181921
188,0.181968
189,0.182146
190,0.182164
191,0.18233
192,0.182599
193,0.182614
194,0.182683
195,0.182692
196,0.18308
197,0.183097
198,0.183106
199,0.183109
200,0.183149
201,0.183194
202,0.183208
203,0.18324
204,0.183301
205,0.183352
206,0.183469
207,0.18352
208,0.18357
209,0.183588
210,0.183596
211,0.183714
212,0.183736
213,0.183847
214,0.183867
215,0.183881
216,0.183893
217,0.18397
218,0.183988
219,0.18399
220,0.184057
221,0.184108
222,0.184133
223,0.184413
224,0.184465
225,0.18448
226,0.18449
227,0.184649
228,0.184711
229,0.184803
230,0.18484
231,0.184914
232,0.185117
233,0.185139
234,0.185358
235,0.185361
236,0.185363
237,0.185366
238,0.18547
239,0.185478
240,0.185518
241,0.18552
242,0.185667
243,0.185813
244,0.185915
245,0.185986
246,0.186038
247,0.186119
248,0.186132
249,0.186215
250,0.186274
251,0.186275
252,0.186357
253,0.186358
254,0.186429
255,0.186437
256,0.186467
257,0.186467
258,0.186504
259,0.186514
260,0.186652
261,0.186714
262,0.186732
263,0.18688
264,0.186881
265,0.18689
266,0.186939
267,0.187095
268,0.187128
269,0.187149
270,0.187152
271,0.187239
272,0.187351
273,0.187364
274,0.187424
275,0.187488
276,0.187497
277,0.187504
278,0.187572
279,0.187615
280,0.187709
281,0.187724
282,0.187734
283,0.187794
284,0.18785
285,0.187874
286,0.18789
287,0.187925
288,0.188027
289,0.188088
290,0.188203
291,0.188364
292,0.188471
293,0.18848
294,0.188513
295,0.188576
296,0.188576
297,0.188669
298,0.188673
299,0.188673
300,0.188777
301,0.188885
302,0.188904
303,0.188952
304,0.189157
305,0.189179
306,0.189224
307,0.189366
308,0.189426
309,0.189478
310,0.189664
311,0.189798
312,0.189881
313,0.189995
314,0.19006
315,0.190061
316,0.190066
317,0.190068
318,0.190081
319,0.190089
320,0.190112
321,0.190238
322,0.190334
323,0.190357
324,0.190457
325,0.190486
326,0.190493
327,0.190611
328,0.190762
329,0.190851
330,0.190894
331,0.190932
332,0.190959
333,0.190963
334,0.190989
335,0.191001
336,0.191007
337,0.19103
338,0.19105
339,0.191061
340,0.191171
341,0.191185
342,0.191198
343,0.1912
344,0.191264
345,0.19134
346,0.191376
347,0.191446
348,0.191467
349,0.191552
350,0.191572
351,0.191653
352,0.191709
353,0.191722
354,0.191727
355,0.191754
356,0.191763
357,0.191829
358,0.191873
359,0.191959
360,0.192002
361,0.192027
362,0.192045
363,0.192167
364,0.192177
365,0.192218
366,0.192251
367,0.192252
368,0.192414
369,0.192499
370,0.19251
371,0.192537
372,0.192685
373,0.192718
374,0.192735
375,0.192821
376,0.19287
377,0.192908
378,0.193024
379,0.193204
380,0.193269
381,0.193337
382,0.193386
383,0.193503
384,0.193575
385,0.193577
386,0.193602
387,0.193615
388,0.193619
389,0.193673
390,0.193675
391,0.193715
392,0.19388
393,0.193885
394,0.193905
395,0.193929
396,0.193933
397,0.193981
398,0.194066
399,0.194066
400,0.194069
401,0.194085
402,0.194129
403,0.194132
404,0.194361
405,0.194396
406,0.194452
407,0.194477
408,0.194484
409,0.194494
410,0.194581
411,0.194618
412,0.194738
413,0.194798
414,0.194821
415,0.194837
416,0.194882
417,0.194962
418,0.19499
419,0.194999
420,0.195083
421,0.195219
422,0.195243
423,0.195262
424,0.195299
425,0.195318
426,0.195336
427,0.195572
428,0.195685
429,0.195691
430,0.195709
431,0.195926
432,0.196016
433,0.196186
434,0.196273
435,0.196288
436,0.196308
437,0.196407
438,0.196414
439,0.196438
440,0.196496
441,0.196568
442,0.196573
443,0.196642
444,0.196889
445,0.196915
446,0.196924
447,0.197096
448,0.197382
449,0.197454
450,0.197535
